名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
朝日優衣,12,デンソーエアリービーズ,3,11,47,15,0,31.9,31.9,4,0,0,2,21,0,0,6,43,21,13,0.0,1.4,0.2,7.1,64.0
杉原若葉,01,東レアローズ,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
杉原若葉,02,東レアローズ,6,2,1,1,0,100.0,100.0,0,0,0,1,1,0,0,0,3,0,0,,0.5,0.5,0.0,0.0
杉原若葉,11,東レアローズ,6,7,3,0,2,0.0,-66.7,0,0,0,0,7,0,1,2,1,0,0,,0.0,0.0,3.6,0.0
杉原若葉,12,東レアローズ,6,7,1,0,0,0.0,0.0,1,0,0,0,8,0,2,2,0,0,0,0.0,0.0,0.0,0.0,
杉郁香,01,トヨタ車体クインシーズ,15,14,57,30,7,52.6,40.4,0,0,0,5,39,3,1,14,2,2,0,,2.1,0.4,16.0,100.0
杉郁香,02,トヨタ車体クインシーズ,15,1,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,,2.0,0.0,,
杉郁香,11,トヨタ車体クインシーズ,15,3,2,1,0,50.0,50.0,0,0,0,0,4,0,0,2,0,0,0,,0.3,0.0,12.5,
杉郁香,12,トヨタ車体クインシーズ,15,14,57,31,2,54.4,50.9,1,1,0,7,40,0,2,10,2,0,0,100.0,2.2,0.5,5.0,0.0
村上華澄,01,PFUブルーキャッツ,6,4,5,3,0,60.0,60.0,0,0,0,2,15,0,1,4,1,0,0,,0.8,0.5,5.0,0.0
村上華澄,02,PFUブルーキャッツ,6,3,5,1,0,20.0,20.0,0,0,0,1,7,0,1,2,0,0,0,,0.3,0.3,3.6,
村上華澄,11,PFUブルーキャッツ,6,15,71,22,5,31.0,23.9,0,0,0,3,43,1,1,13,3,3,0,,1.5,0.2,9.3,100.0
村上華澄,12,PFUブルーキャッツ,6,2,5,2,0,40.0,40.0,0,0,0,0,8,2,0,1,0,0,0,,1.0,0.0,28.1,
村永奈央,01,トヨタ車体クインシーズ,6,6,43,8,3,18.6,11.6,2,1,0,2,17,0,0,5,71,31,19,50.0,1.3,0.3,7.4,57.0
村永奈央,02,トヨタ車体クインシーズ,6,11,73,23,4,31.5,26.0,3,0,0,6,25,0,1,9,98,33,25,0.0,2.1,0.5,8.0,46.4
村永奈央,11,トヨタ車体クインシーズ,6,4,17,9,1,52.9,47.1,0,0,0,1,10,1,1,3,28,12,8,,2.2,0.2,15.0,57.1
村永奈央,12,トヨタ車体クインシーズ,6,3,16,4,1,25.0,18.8,1,0,0,0,8,0,0,5,24,13,5,0.0,1.3,0.0,15.6,64.6
東谷玲衣奈,11,デンソーエアリービーズ,20,13,91,35,7,38.5,30.8,7,0,1,3,48,0,2,12,42,16,9,0.0,2.7,0.2,5.2,48.8
東谷玲衣奈,12,デンソーエアリービーズ,20,7,49,15,4,30.6,22.4,3,0,1,0,21,0,1,8,50,20,10,0.0,2.1,0.0,8.3,50.0
松下紗也,02,PFUブルーキャッツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
松下紗也,12,PFUブルーキャッツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
松本亜弥華,01,埼玉上尾メディックス,8,4,7,1,0,14.3,14.3,0,0,0,0,5,0,1,2,0,0,0,,0.2,0.0,5.0,
