名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率,総得点
石橋克哉,大分三好ヴァイセアドラー,12,2,0,0,0,,,0,0,0,0,2,0,2,0,0,0,0,,0.0,0.0,-25.0,,0
神谷雄飛,ウルフドッグス名古屋,8,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,,0
福山汰一,ジェイテクトSTINGS,4,45,114,54,7,47.4,41.2,0,0,0,32,173,6,11,34,17,8,8,,1.2,0.71,6.8,70.6,92
秦耕介,サントリーサンバーズ,11,5,15,7,0,46.7,46.7,3,2,0,0,8,0,1,2,17,7,4,66.7,1.4,0.0,3.1,52.9,7
竹元裕太郎,堺ブレイザーズ,21,14,15,5,1,33.3,26.7,0,0,0,1,17,0,0,2,0,0,0,,0.36,0.07,2.9,,6
笠利真吾,VC長野トライデンツ,5,23,89,30,9,33.7,23.6,8,1,2,2,55,1,11,15,93,39,20,12.5,1.3,0.09,3.6,52.7,33
米山裕太,東レアローズ,5,20,57,20,1,35.1,33.3,3,2,0,2,42,0,8,5,60,22,16,66.7,1.0,0.1,-1.8,50.0,22
米田亘希,大分三好ヴァイセアドラー,24,7,15,5,0,33.3,33.3,5,3,0,0,9,2,3,0,16,6,3,60.0,0.71,0.0,13.9,46.9,7
興梠亮,ジェイテクトSTINGS,12,1,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,,0.0,0.0,,0.0,0
落合一貴,東レアローズ,6,3,0,0,0,,,0,0,0,0,3,0,2,0,0,0,0,,0.0,0.0,-16.7,,0
