試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,15,,平野七菜,3,■,■,nan,□,nan,19,4,2,0.21052631578947367,0.10526315789473684,1.33,0,0,0,-,1,0.33,4,0,0,1,6.2,12,4,5,54.2
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,16,,横田実穂,4,■,■,■,■,nan,5,2,0,0.4,0.4,0.50,0,0,0,-,0,-,18,0,1,6,6.9,2,0,0,0.0
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,17,,小茂田夏海,4,■,■,■,■,nan,20,8,3,0.4,0.25,2.00,0,0,0,-,2,0.50,18,0,1,4,4.2,1,0,0,0.0
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,18,,岩本周加,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,19,,富澤結花,3,nan,□,■,■,nan,29,13,1,0.4482758620689655,0.41379310344827586,4.33,0,0,0,-,0,-,14,0,0,3,5.4,22,4,7,34.1
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,1,,北村果穂,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,2,,尾花佳甫,1,nan,nan,□,nan,nan,2,1,1,0.5,0.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,3,,木村友里,4,■,■,■,■,nan,42,15,0,0.35714285714285715,0.35714285714285715,3.75,5,1,0,20.0,0,-,16,1,0,3,10.9,36,16,10,58.3
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,7,,草島華穂,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,1,0,1,50.0
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,8,,田村愛美,4,■,■,□,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,13,1,0,4,15.4,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,10,,柳沢紫子,3,■,■,nan,■,nan,29,7,1,0.2413793103448276,0.20689655172413793,2.33,6,1,1,16.7,1,0.33,8,0,1,3,6.2,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,11,L,森寿実子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,3,71.9
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,12,,榎本里歩,4,■,■,■,■,nan,43,10,3,0.23255813953488372,0.16279069767441862,2.50,4,1,0,25.0,1,0.25,12,1,4,1,2.1,33,20,6,69.7
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,14,L,細田瑠加,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,15,,投野ひかる,3,nan,□,■,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,5,1,1,2,25.0,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,16,,宮本菜月,2,nan,□,■,nan,nan,8,1,2,0.125,-0.125,0.50,1,0,0,0.0,0,-,2,0,0,0,0.0,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,17,,伊藤摩耶,4,■,■,■,■,nan,24,13,1,0.5416666666666666,0.5,3.25,0,0,0,-,4,1.00,14,0,3,4,1.8,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,19,,菅原里奈,4,■,■,■,■,nan,24,6,3,0.25,0.125,1.50,0,0,0,-,1,0.25,15,1,1,6,15.0,0,0,0,-
2020-10-31,2020-10,プレステージ・インターナショナルアランマーレ,20,,小泉春葵,2,nan,nan,□,□,nan,12,4,0,0.3333333333333333,0.3333333333333333,2.00,1,0,0,0.0,0,-,5,0,0,2,10.0,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,2,,松浦未波,4,■,■,■,■,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,19,1,0,7,14.5,0,0,0,-
2020-11-01,2020-11,GSS東京サンビームズ,4,L,平岩沙紀,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,6,5,56.7
