名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
荒木彩花,2021-02,久光スプリングス,20,0,3,0,3,5,0,1,0.0,-20.0,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
荒木絵里香,2021-02,トヨタ車体クインシーズ,11,2,3,0,5,25,13,0,52.0,52.0,0,0,0,4,20,1,1,11,0,0,0,18,,2.6,0.8,17.5,
荒谷栞,2021-02,ヴィクトリーナ姫路,11,3,2,1,5,24,12,0,50.0,50.0,0,0,0,7,16,0,2,4,0,0,0,19,,2.4,1.4,3.1,
菊池杏菜,2021-02,KUROBEアクアフェアリーズ,5,1,3,0,2,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,0,,0.0,0.0,25.0,
藪田美穂子,2021-02,トヨタ車体クインシーズ,17,2,3,0,5,55,18,7,32.7,20.0,2,0,1,2,14,0,2,7,31,10,3,20,0.0,3.6,0.4,8.9,37.1
西川有喜,2021-02,JTマーヴェラス,13,3,2,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
西村弥菜美,2021-02,岡山シーガルズ,10,3,0,1,2,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
貞包里穂,2021-02,ヴィクトリーナ姫路,1,3,2,1,4,34,16,2,47.1,41.2,0,0,0,2,15,0,1,9,17,4,5,18,,4.0,0.5,13.3,38.2
道下ひなの,2021-02,KUROBEアクアフェアリーズ,21,1,3,0,4,11,3,0,27.3,27.3,0,0,0,2,11,1,2,2,1,1,0,6,,0.75,0.5,9.1,100.0
野中瑠衣,2021-02,日立リヴァーレ,19,1,3,0,4,23,9,0,39.1,39.1,0,0,0,1,15,1,0,4,30,18,4,11,,2.25,0.25,13.3,66.7
野呂加南子,2021-02,東レアローズ,13,3,0,1,3,4,1,0,25.0,25.0,0,0,0,0,0,0,0,0,2,0,0,1,,0.33,0.0,,0.0
